FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
3007816	hPTPRC/iso:h6-	CD45RA-	ANA816	1065146
3007817	hCCR7-	CCR7-	ANA37	1065146
3007818	hPTPRC/iso:h6-	CD45RA-	ANA816	1065147
3007819	hCCR7-	CCR7-	ANA37	1065147
3007820	hPTPRC/iso:h6-	CD45RA-	ANA816	1065148
3007821	hCCR7+	CCR7+	ANA37	1065148
3007822	hPTPRC/iso:h6-	CD45RA-	ANA816	1065149
3007823	hCCR7+	CCR7+	ANA37	1065149
3007824	hCXCR5+	CXCR5+	ANA78	1065150
3007825	hCD3E+	CD3+	ANA809	1065151
3007826	hCD4+	CD4+	ANA41	1065151
3007827	hCXCR5+	CXCR5+	ANA78	1065152
3007828	hPTPRC/iso:h6-	CD45RA-	ANA816	1065152
3007829	hCXCR5+	CXCR5+	ANA78	1065153
3007830	hPTPRC/iso:h6-	CD45RA-	ANA816	1065153
3007831	hICOS+	ICOS+	ANA898	1065153
3007832	hCXCR5+	CXCR5+	ANA78	1065154
3007833	hPTPRC/iso:h6-	CD45RA-	ANA816	1065154
3007834	hICOS+	ICOS+	ANA898	1065154
3007835	hCXCR5+	CXCR5+	ANA78	1065155
3007836	hPTPRC/iso:h6-	CD45RA-	ANA816	1065155
3007837	hICOS+	ICOS+	ANA898	1065155
3007838	hPDCD1+	PD1+	ANA818	1065155
3007839	hCXCR5+	CXCR5+	ANA78	1065156
3007840	hPTPRC/iso:h6-	CD45RA-	ANA816	1065156
3007841	hICOS+	ICOS+	ANA898	1065156
3007842	hPDCD1+	PD1+	ANA818	1065156
3007843	hIL2RA++	CD25++	ANA163	1065157
3007844	hIL7R+-	CD127+-	ANA182	1065157
3007845	hCD27++	CD27++	ANA40	1065158
3007846	hCD38++	CD38++	ANA808	1065158
3007847	hCD27++	CD27++	ANA40	1065159
3007848	hCD38++	CD38++	ANA808	1065159
3007849	hCD27-	CD27-	ANA40	1065160
3007850	hCD38++	CD38++	ANA808	1065160
3007851	hCD24-	CD24-	ANA807	1065160
3007852	hCD27-	CD27-	ANA40	1065161
3007853	hCD38++	CD38++	ANA808	1065161
3007854	hCD24-	CD24-	ANA807	1065161
3007855	hCD24-	CD24-	ANA807	1065162
3007856	hCD24-	CD24-	ANA807	1065163
3007857	PTPRC/iso:CD45RO+	B220+	ANA822	1065164
3007858	PTPRC/iso:CD45RO+	B220+	ANA822	1065165
3007859	hCR2-	CD21-	ANA919	1065166
3007860	hCR2-	CD21-	ANA919	1065167
3007861	hFAS+	CD95+	ANA85	1065168
3007862	hFAS+	CD95+	ANA85	1065169
3007863	hCXCR3+	CXCR3+	ANA76	1065170
3007864	hCXCR3+	CXCR3+	ANA76	1065171
3007865	hFAS+	CD95+	ANA85	1065172
3007866	hFAS+	CD95+	ANA85	1065173
3007867	PTPRC/iso:CD45RO+	B220+	ANA822	1065174
3007868	PTPRC/iso:CD45RO+	B220+	ANA822	1065175
3007869	hCR2-	CD21-	ANA919	1065176
3007870	hCR2-	CD21-	ANA919	1065177
3007871	hCD24-	CD24-	ANA807	1065178
3007872	hCD24-	CD24-	ANA807	1065179
3007873	hCXCR3+	CXCR3+	ANA76	1065180
3007874	hCXCR3+	CXCR3+	ANA76	1065181
3007875	hCD24-	CD24-	ANA807	1065182
3007876	hCD24-	CD24-	ANA807	1065183
3007877	hFAS+	CD95+	ANA85	1065184
3007878	hFAS+	CD95+	ANA85	1065185
3007879	PTPRC/iso:CD45RO+	B220+	ANA822	1065186
3007880	PTPRC/iso:CD45RO+	B220+	ANA822	1065187
3007881	hCR2-	CD21-	ANA919	1065188
3007882	hCR2-	CD21-	ANA919	1065189
3007883	hCXCR3+	CXCR3+	ANA76	1065190
3007884	hCXCR3+	CXCR3+	ANA76	1065191
3007885	hCR2-	CD21-	ANA919	1065192
3007886	hCR2-	CD21-	ANA919	1065193
3007887	hCD24-	CD24-	ANA807	1065194
3007888	hCD24-	CD24-	ANA807	1065195
3007889	hFAS+	CD95+	ANA85	1065196
3007890	hFAS+	CD95+	ANA85	1065197
3007891	hCXCR3+	CXCR3+	ANA76	1065198
3007892	hCXCR3+	CXCR3+	ANA76	1065199
3007893		95+		1065200
3007894	PTPRC/iso:CD45RO+	B220+	ANA822	1065201
3007895	hCR2-	CD21-	ANA919	1065202
3007896	hCD24-	CD24-	ANA807	1065203
3007897	hCXCR3+	CXCR3+	ANA76	1065204
3007898	hIGHD+	IgD+	ANA813	1065205
3007899	hCD27-	CD27-	ANA40	1065205
3007900	hIGHD+	IgD+	ANA813	1065206
3007901	hCD27+	CD27+	ANA40	1065206
3007902	hIGHD-	IgD-	ANA813	1065207
3007903	hCD27-	CD27-	ANA40	1065207
3007904	hIGHD-	IgD-	ANA813	1065208
3007905	hCD27+	CD27+	ANA40	1065208
3007906		NA		1065209
3007907	PTPRC/iso:CD45RO+	B220+	ANA822	1065210
3007908	PTPRC/iso:CD45RO+	B220+	ANA822	1065211
3007909		NA		1065212
3007910		NA		1065213
3007911	hMME+	CD10+	ANA930	1065214
3007912	hMME+	CD10+	ANA930	1065215
3007913	hMME+	CD10+	ANA930	1065216
3007914	hMME+	CD10+	ANA930	1065217
3007915	hFCER2+	CD23+	ANA922	1065218
3007916	hFCER2+	CD23+	ANA922	1065219
3007917		IGM+		1065220
3007918		IGM+		1065221
3007919	hMME+	CD10+	ANA930	1065222
3007920	hMME+	CD10+	ANA930	1065223
3007921	hFCER2+	CD23+	ANA922	1065224
3007922	hFCER2+	CD23+	ANA922	1065225
3007923		IGM+		1065226
3007924		IGM+		1065227
3007925	hMME+	CD10+	ANA930	1065228
3007926	hMME+	CD10+	ANA930	1065229
3007927	hFCER2+	CD23+	ANA922	1065230
3007928	hFCER2+	CD23+	ANA922	1065231
3007929		IGM+		1065232
3007930		IGM+		1065233
3007931	hFCER2+	CD23+	ANA922	1065234
3007932	hFCER2+	CD23+	ANA922	1065235
3007933		IGM+		1065236
3007934		IGM+		1065237
3007935		T1		1065238
3007936		T1		1065239
3007937		T2		1065240
3007938		T2		1065241
3007939		T3		1065242
3007940		T3		1065243
3007941	hMME+	CD10+	ANA930	1065244
3007942	hMME+	CD10+	ANA930	1065245
3007943		CDIGM+		1065246
3007944		CDIGM+		1065247
3007945		MTG+		1065248
3007946		MTG+		1065249
3007947	hMME+	CD10+	ANA930	1065250
3007948	hMME+	CD10+	ANA930	1065251
3007949	hFCER2+	CD23+	ANA922	1065252
3007950	hFCER2+	CD23+	ANA922	1065253
3007951		IGM+		1065254
3007952		IGM+		1065255
3007953	hMME+	CD10+	ANA930	1065256
3007954	hMME+	CD10+	ANA930	1065257
3007955	hFCER2+	CD23+	ANA922	1065258
3007956	hFCER2+	CD23+	ANA922	1065259
3007957	hFCER2+	CD23+	ANA922	1065260
3007958	hFCER2+	CD23+	ANA922	1065261
3007959		IGM+		1065262
3007960		IGM+		1065263
3007961	hMME+	CD10+	ANA930	1065264
3007962	hMME+	CD10+	ANA930	1065265
3007963	hFCER2+	CD23+	ANA922	1065266
3007964	hFCER2+	CD23+	ANA922	1065267
3007965		IGM+		1065268
3007966		IGM+		1065269
3007967	hMME+	CD10+	ANA930	1065270
3007968	hFCER2+	CD23+	ANA922	1065271
3007969	hIGHD+	IgD+	ANA813	1065272
3007970	hCD27-	CD27-	ANA40	1065272
3007971		MTG-		1065272
3007972	hIGHD+	IgD+	ANA813	1065273
3007973	hCD27-	CD27-	ANA40	1065273
3007974		MTG-		1065273
3007975		IGM+		1065274
3007976	hPTPRC/iso:h6-	CD45RA-	ANA816	1065275
3007977		Memory		1065275
3007978	hPTPRC/iso:h6-	CD45RA-	ANA816	1065276
3007979	hCCR6+	CCR6+	ANA36	1065276
3007980	hCCR4+	CCR4+	ANA34	1065276
3007981	hPTPRC/iso:h6-	CD45RA-	ANA816	1065277
3007982	hCCR6+	CCR6+	ANA36	1065277
3007983	hCCR4+	CCR4+	ANA34	1065277
3007984	hPTPRC/iso:h6-	CD45RA-	ANA816	1065278
3007985	hCCR6+	CCR6+	ANA36	1065278
3007986	hCXCR3+	CXCR3+	ANA76	1065278
3007987	hPTPRC/iso:h6-	CD45RA-	ANA816	1065279
3007988	hCCR6+	CCR6+	ANA36	1065279
3007989	hCXCR3+	CXCR3+	ANA76	1065279
3007990	hPTPRC/iso:h6-	CD45RA-	ANA816	1065280
3007991	hCCR6-	CCR6-	ANA36	1065280
3007992	hCCR4+	CCR4+	ANA34	1065280
3007993	hPTPRC/iso:h6-	CD45RA-	ANA816	1065281
3007994	hCCR6-	CCR6-	ANA36	1065281
3007995	hCCR4+	CCR4+	ANA34	1065281
3007996	hPTPRC/iso:h6-	CD45RA-	ANA816	1065282
3007997	hCXCR5-	CXCR5-	ANA78	1065282
3007998	hCXCR3-	CXCR3-	ANA76	1065282
3007999	hCCR6-	CCR6-	ANA36	1065282
3008000	hPTPRC/iso:h6-	CD45RA-	ANA816	1065283
3008001	hCXCR5-	CXCR5-	ANA78	1065283
3008002	hCXCR3-	CXCR3-	ANA76	1065283
3008003	hCCR6-	CCR6-	ANA36	1065283
3008004	hPTPRC/iso:h6-	CD45RA-	ANA816	1065284
3008005	hCXCR5-	CXCR5-	ANA78	1065284
3008006	hCXCR3-	CXCR3-	ANA76	1065284
3008007	hCCR6+	CCR6+	ANA36	1065284
3008008	hPTPRC/iso:h6-	CD45RA-	ANA816	1065285
3008009	hCXCR5-	CXCR5-	ANA78	1065285
3008010	hCXCR3-	CXCR3-	ANA76	1065285
3008011	hCCR6+	CCR6+	ANA36	1065285
3008012	hPTPRC/iso:h6-	CD45RA-	ANA816	1065286
3008013	hCXCR5-	CXCR5-	ANA78	1065286
3008014	hCXCR3+	CXCR3+	ANA76	1065286
3008015	hCCR6+	CCR6+	ANA36	1065286
3008016	hPTPRC/iso:h6-	CD45RA-	ANA816	1065287
3008017	hCXCR5-	CXCR5-	ANA78	1065287
3008018	hCXCR3+	CXCR3+	ANA76	1065287
3008019	hCCR6+	CCR6+	ANA36	1065287
3008020	hPTPRC/iso:h6-	CD45RA-	ANA816	1065288
3008021	hCXCR5-	CXCR5-	ANA78	1065288
3008022	hPTPRC/iso:h6-	CD45RA-	ANA816	1065289
3008023	hCXCR5-	CXCR5-	ANA78	1065289
3008024	hPTPRC/iso:h6-	CD45RA-	ANA816	1065290
3008025	hCXCR5+	CXCR5+	ANA78	1065290
3008026	hCXCR3-	CXCR3-	ANA76	1065290
3008027	hCCR6-	CCR6-	ANA36	1065290
3008028	hPTPRC/iso:h6-	CD45RA-	ANA816	1065291
3008029	hCXCR5+	CXCR5+	ANA78	1065291
3008030	hCXCR3-	CXCR3-	ANA76	1065291
3008031	hCCR6-	CCR6-	ANA36	1065291
3008032	hPTPRC/iso:h6-	CD45RA-	ANA816	1065292
3008033	hCXCR5+	CXCR5+	ANA78	1065292
3008034	hCXCR3-	CXCR3-	ANA76	1065292
3008035	hCCR6+	CCR6+	ANA36	1065292
3008036	hPTPRC/iso:h6-	CD45RA-	ANA816	1065293
3008037	hCXCR5+	CXCR5+	ANA78	1065293
3008038	hCXCR3-	CXCR3-	ANA76	1065293
3008039	hCCR6+	CCR6+	ANA36	1065293
3008040	hPTPRC/iso:h6-	CD45RA-	ANA816	1065294
3008041	hCXCR5+	CXCR5+	ANA78	1065294
3008042	hCXCR3+	CXCR3+	ANA76	1065294
3008043	hCCR6+	CCR6+	ANA36	1065294
3008044	hPTPRC/iso:h6-	CD45RA-	ANA816	1065295
3008045	hCXCR5+	CXCR5+	ANA78	1065295
3008046	hCXCR3+	CXCR3+	ANA76	1065295
3008047	hCCR6+	CCR6+	ANA36	1065295
3008048	hPTPRC/iso:h6-	CD45RA-	ANA816	1065296
3008049	hCXCR5+	CXCR5+	ANA78	1065296
3008050	hPTPRC/iso:h6-	CD45RA-	ANA816	1065297
3008051	hCXCR5+	CXCR5+	ANA78	1065297
3008052	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1065298
3008053	hPTPRC/iso:h6-	CD45RA-	ANA816	1065299
3008054	hCCR7-	CCR7-	ANA37	1065299
3008055	hPTPRC/iso:h6-	CD45RA-	ANA816	1065300
3008056	hCCR7-	CCR7-	ANA37	1065300
3008057	hPTPRC/iso:h6-	CD45RA-	ANA816	1065301
3008058	hCCR7+	CCR7+	ANA37	1065301
3008059	hPTPRC/iso:h6-	CD45RA-	ANA816	1065302
3008060	hCCR7+	CCR7+	ANA37	1065302
3008061	hCXCR5+	CXCR5+	ANA78	1065303
3008062	hCD3E+	CD3+	ANA809	1065304
3008063	hCD4+	CD4+	ANA41	1065304
3008064	hCXCR5+	CXCR5+	ANA78	1065305
3008065	hPTPRC/iso:h6-	CD45RA-	ANA816	1065305
3008066	hCXCR5+	CXCR5+	ANA78	1065306
3008067	hPTPRC/iso:h6-	CD45RA-	ANA816	1065306
3008068	hICOS+	ICOS+	ANA898	1065306
3008069	hCXCR5+	CXCR5+	ANA78	1065307
3008070	hPTPRC/iso:h6-	CD45RA-	ANA816	1065307
3008071	hICOS+	ICOS+	ANA898	1065307
3008072	hCXCR5+	CXCR5+	ANA78	1065308
3008073	hPTPRC/iso:h6-	CD45RA-	ANA816	1065308
3008074	hICOS+	ICOS+	ANA898	1065308
3008075	hPDCD1+	PD1+	ANA818	1065308
3008076	hCXCR5+	CXCR5+	ANA78	1065309
3008077	hPTPRC/iso:h6-	CD45RA-	ANA816	1065309
3008078	hICOS+	ICOS+	ANA898	1065309
3008079	hPDCD1+	PD1+	ANA818	1065309
3008080	hIL2RA++	CD25++	ANA163	1065310
3008081	hIL7R+-	CD127+-	ANA182	1065310
